percentile,age_group,gender,resting_heart_rate_bpm,resting_heart_rate_covariance_value,azm_in_fat_burn_minute_cnt,azm_in_cardio_minute_cnt,azm_in_peak_minute_cnt,azm_total_multiplied_azm_cnt,step_cnt,sleep_rem_minute_cnt,sleep_deep_minute_cnt,sleep_all_awake_cnt,sleep_light_minute_cnt,sleep_all_asleep_minute_cnt,stress_management_score
51,25-34,male,65,9.0,14,0,0,17,7341.0,84,74,0,236,0,75
52,25-34,male,65,9.0,15,0,0,17,7482.0,85,74,0,238,0,75
53,25-34,male,65,9.0,15,0,0,18,7623.0,86,75,0,239,0,75
54,25-34,male,65,9.0,16,0,0,19,7766.0,87,76,0,241,0,75
55,25-34,male,66,10.0,16,0,0,20,7910.0,88,76,0,242,0,76
56,25-34,male,66,10.0,17,0,0,21,8055.0,89,77,0,244,0,76
57,25-34,male,66,10.0,17,0,0,22,8202.0,89,78,0,245,0,76
58,25-34,male,66,10.0,18,0,0,22,8352.0,90,78,0,247,0,76
59,25-34,male,66,11.0,19,0,0,23,8504.0,91,79,0,248,0,76
60,25-34,male,67,11.0,20,0,0,24,8657.0,92,80,0,250,0,76
61,25-34,male,67,11.0,20,0,0,25,8813.0,93,80,0,252,0,77
62,25-34,male,67,11.0,21,0,0,27,8971.0,94,81,0,253,0,77
63,25-34,male,67,11.0,22,0,0,28,9132.0,94,82,0,255,0,77
64,25-34,male,68,12.0,23,1,0,29,9297.0,95,82,0,256,0,77
65,25-34,male,68,12.0,23,1,0,30,9465.0,96,83,0,258,0,77
66,25-34,male,68,13.0,24,1,0,31,9638.0,97,84,0,260,0,77
67,25-34,male,68,13.0,25,1,0,33,9813.0,98,85,0,261,0,78
68,25-34,male,69,14.0,26,1,0,34,9988.0,99,85,0,263,0,78
69,25-34,male,69,14.0,27,1,0,35,10137.0,100,86,0,265,0,78
70,25-34,male,69,15.0,28,1,0,37,10309.0,101,87,0,266,0,78
71,25-34,male,69,15.0,29,1,0,39,10487.0,102,88,0,268,0,78
72,25-34,male,70,16.0,30,2,0,40,10672.0,103,88,0,270,0,79
73,25-34,male,70,17.0,31,2,0,42,10862.0,104,89,0,272,0,79
74,25-34,male,70,18.0,33,2,0,44,11058.0,105,90,0,274,0,79
75,25-34,male,70,19.0,34,2,0,46,11258.0,106,91,0,276,0,79
76,25-34,male,71,20.0,35,3,0,48,11465.0,107,92,0,278,0,79
77,25-34,male,71,20.0,36,3,0,50,11680.0,108,92,0,280,0,80
78,25-34,male,71,21.0,38,3,0,52,11900.0,109,93,0,282,0,80
79,25-34,male,72,22.0,39,3,0,54,12127.0,110,94,0,284,0,80
80,25-34,male,72,22.0,41,4,0,57,12366.0,111,95,0,286,0,80
81,25-34,male,72,22.0,43,4,0,60,12609.0,112,96,0,289,0,81
82,25-34,male,73,22.0,44,5,0,62,12866.0,114,97,0,291,54,81
83,25-34,male,73,22.0,46,5,0,65,13134.0,115,98,0,294,62,81
84,25-34,male,73,22.0,48,6,0,68,13418.0,116,99,0,297,68,81
85,25-34,male,74,22.0,50,7,0,71,13714.0,118,100,0,299,75,82
86,25-34,male,74,22.0,53,7,0,75,14028.0,119,101,0,302,83,82
87,25-34,male,75,23.0,55,8,0,79,14360.0,121,103,0,305,93,82
88,25-34,male,75,23.0,58,9,0,83,14714.0,122,104,0,309,104,82
89,25-34,male,76,23.0,61,10,0,87,15090.0,124,105,0,312,116,83
90,25-34,male,76,23.0,64,12,0,92,15488.0,126,107,1,316,130,83
91,25-34,male,77,23.0,68,13,0,98,15922.0,128,108,1,320,146,83
92,25-34,male,77,24.0,72,15,0,104,16393.0,130,110,1,325,166,84
93,25-34,male,78,24.0,77,17,0,111,16912.0,133,112,1,330,229,84
94,25-34,male,79,24.0,83,19,0,119,17495.0,136,114,1,336,299,85
95,25-34,male,80,25.0,89,21,1,129,18148.0,139,116,1,343,352,85
96,25-34,male,81,25.0,97,24,2,141,18911.0,143,119,2,351,390,86
97,25-34,male,82,26.0,108,28,3,156,19828.0,147,122,2,361,421,87
98,25-34,male,84,28.0,122,33,5,177,20910.0,154,126,2,375,450,88
99,25-34,male,86,30.0,142,40,10,208,22360.0,164,133,3,398,482,89
100,25-34,male,92,36.0,175,51,26,265,24468.0,189,144,4,456,528,96
1,35-44,female,52,7.0,1,0,0,1,15.0,15,13,0,112,0,59
2,35-44,female,53,7.0,1,0,0,1,62.0,23,19,0,127,0,61
3,35-44,female,54,7.0,1,0,0,1,196.0,28,23,0,137,0,62
4,35-44,female,55,7.0,1,0,0,1,422.0,32,26,0,145,0,63
5,35-44,female,56,7.0,1,0,0,1,702.0,36,29,0,152,0,63
6,35-44,female,57,7.0,1,0,0,1,983.0,38,31,0,157,0,64
7,35-44,female,57,7.0,1,0,0,1,1248.0,41,33,0,163,0,65
8,35-44,female,58,7.0,2,0,0,2,1495.0,43,35,0,167,0,65
9,35-44,female,58,7.0,2,0,0,2,1724.0,46,36,0,171,0,65
10,35-44,female,58,7.0,2,0,0,2,1940.0,48,38,0,175,0,66
11,35-44,female,59,7.0,2,0,0,2,2143.0,50,39,0,178,0,66
12,35-44,female,59,7.0,2,0,0,2,2334.0,51,40,0,181,0,67
13,35-44,female,60,7.0,2,0,0,3,2517.0,53,42,0,184,0,67
14,35-44,female,60,7.0,3,0,0,3,2690.0,55,43,0,187,0,67
15,35-44,female,60,7.0,3,0,0,3,2857.0,56,44,0,190,0,68
16,35-44,female,61,7.0,3,0,0,3,3017.0,58,45,0,192,0,68
17,35-44,female,61,7.0,3,0,0,3,3170.0,59,46,0,195,0,68
18,35-44,female,61,7.0,3,0,0,4,3319.0,60,47,0,197,0,68
19,35-44,female,61,7.0,4,0,0,4,3462.0,62,48,0,199,0,69
20,35-44,female,62,7.0,4,0,0,4,3603.0,63,49,0,201,0,69
21,35-44,female,62,7.0,4,0,0,4,3739.0,64,50,0,203,0,69
22,35-44,female,62,7.0,4,0,0,5,3872.0,65,50,0,205,0,69
23,35-44,female,62,7.0,4,0,0,5,4002.0,66,51,0,207,0,70
24,35-44,female,63,7.0,5,0,0,5,4130.0,68,52,0,209,0,70
25,35-44,female,63,7.0,5,0,0,5,4255.0,69,53,0,211,0,70
26,35-44,female,63,7.0,5,0,0,6,4379.0,70,54,0,213,0,70
27,35-44,female,63,7.0,5,0,0,6,4501.0,71,54,0,215,0,70
28,35-44,female,64,7.0,6,0,0,6,4622.0,72,55,0,217,0,71
29,35-44,female,64,7.0,6,0,0,7,4740.0,73,56,0,218,0,71
30,35-44,female,64,7.0,6,0,0,7,4858.0,74,57,0,220,0,71
31,35-44,female,64,7.0,7,0,0,7,4976.0,75,57,0,222,0,71
32,35-44,female,65,7.0,7,0,0,8,5089.0,76,58,0,223,0,71
33,35-44,female,65,7.0,7,0,0,8,5203.0,77,59,0,225,0,72
34,35-44,female,65,7.0,8,0,0,8,5318.0,78,59,0,226,0,72
35,35-44,female,65,7.0,8,0,0,9,5431.0,78,60,0,228,0,72
36,35-44,female,65,7.0,8,0,0,9,5544.0,79,61,0,229,0,72
37,35-44,female,66,7.0,9,0,0,9,5657.0,80,61,0,231,0,72
38,35-44,female,66,7.0,9,0,0,10,5770.0,81,62,0,232,0,73
39,35-44,female,66,7.0,9,0,0,10,5883.0,82,63,0,234,0,73
40,35-44,female,66,7.0,10,0,0,11,5996.0,83,63,0,235,0,73
41,35-44,female,67,7.0,10,0,0,11,6108.0,84,64,0,237,0,73
42,35-44,female,67,7.0,10,0,0,12,6221.0,85,65,0,238,0,73
43,35-44,female,67,7.0,11,0,0,12,6334.0,85,65,0,240,0,74
44,35-44,female,67,7.0,11,0,0,13,6447.0,86,66,0,241,0,74
45,35-44,female,67,7.0,12,0,0,13,6561.0,87,67,0,243,0,74
46,35-44,female,68,7.0,12,0,0,14,6676.0,88,67,0,244,0,74
47,35-44,female,68,7.0,13,0,0,14,6791.0,89,68,0,246,0,74
48,35-44,female,68,8.0,13,0,0,15,6908.0,90,68,0,247,0,74
49,35-44,female,68,8.0,14,0,0,16,7024.0,91,69,0,249,0,75
50,35-44,female,68,8.0,14,0,0,16,7139.0,91,70,0,250,0,75
51,35-44,female,69,8.0,15,0,0,17,7257.0,92,70,0,252,0,75
52,35-44,female,69,8.0,15,0,0,17,7376.0,93,71,0,253,0,75
53,35-44,female,69,8.0,16,0,0,18,7496.0,94,72,0,254,0,75
54,35-44,female,69,8.0,16,0,0,19,7616.0,95,72,0,256,0,75
55,35-44,female,69,8.0,17,0,0,20,7738.0,95,73,0,257,0,76
56,35-44,female,70,8.0,17,0,0,20,7862.0,96,73,0,259,0,76
57,35-44,female,70,9.0,18,0,0,21,7987.0,97,74,0,260,0,76
58,35-44,female,70,9.0,19,0,0,22,8109.0,98,75,0,262,0,76
59,35-44,female,70,9.0,19,0,0,23,8236.0,99,75,0,263,0,76
60,35-44,female,71,10.0,20,0,0,24,8365.0,100,76,0,265,0,77
61,35-44,female,71,10.0,20,0,0,25,8497.0,100,77,0,267,0,77
62,35-44,female,71,10.0,21,0,0,26,8631.0,101,77,0,268,0,77
63,35-44,female,71,11.0,22,0,0,27,8767.0,102,78,0,270,0,77
64,35-44,female,71,11.0,23,0,0,28,8907.0,103,79,0,271,0,77
65,35-44,female,72,11.0,23,0,0,29,9049.0,104,79,0,273,0,77
66,35-44,female,72,11.0,24,1,0,30,9193.0,105,80,0,274,0,78
67,35-44,female,72,11.0,25,1,0,31,9343.0,106,81,0,276,0,78
68,35-44,female,72,11.0,26,1,0,32,9496.0,107,81,0,278,0,78
69,35-44,female,73,12.0,27,1,0,33,9654.0,107,82,0,279,0,78
70,35-44,female,73,12.0,28,1,0,35,9818.0,108,83,0,281,0,78
71,35-44,female,73,13.0,28,1,0,36,9986.0,109,84,0,283,0,79
72,35-44,female,73,13.0,29,1,0,38,10096.0,110,84,0,285,0,79
73,35-44,female,74,14.0,30,1,0,39,10234.0,111,85,0,287,0,79
74,35-44,female,74,14.0,32,2,0,41,10386.0,112,86,0,289,0,79
75,35-44,female,74,15.0,33,2,0,42,10547.0,113,87,0,290,0,79
76,35-44,female,74,16.0,34,2,0,44,10715.0,114,88,0,292,51,80
77,35-44,female,75,17.0,35,2,0,46,10891.0,115,88,0,294,60,80
78,35-44,female,75,18.0,36,3,0,48,11074.0,116,89,0,297,65,80
79,35-44,female,75,19.0,38,3,0,50,11261.0,118,90,0,299,70,80
80,35-44,female,76,20.0,39,3,0,52,11458.0,119,91,0,301,77,81
81,35-44,female,76,21.0,40,3,0,55,11664.0,120,92,0,303,83,81
82,35-44,female,76,21.0,42,4,0,57,11880.0,121,93,0,306,91,81
83,35-44,female,77,22.0,44,4,0,60,12103.0,122,94,0,308,100,81
84,35-44,female,77,22.0,45,5,0,62,12337.0,124,95,0,311,111,82
85,35-44,female,77,22.0,47,5,0,65,12584.0,125,96,1,314,123,82
86,35-44,female,78,22.0,49,6,0,68,12846.0,126,97,1,317,137,82
87,35-44,female,78,22.0,52,7,0,72,13126.0,128,98,1,320,154,82
88,35-44,female,79,22.0,54,8,0,75,13425.0,130,100,1,323,185,83
89,35-44,female,79,22.0,57,9,0,79,13747.0,131,101,1,326,243,83
90,35-44,female,79,22.0,60,10,0,84,14097.0,133,102,1,330,300,83
91,35-44,female,80,23.0,63,11,0,89,14481.0,135,104,1,334,344,84
92,35-44,female,81,23.0,67,13,0,94,14909.0,137,106,1,339,375,84
93,35-44,female,81,23.0,71,15,0,100,15364.0,140,107,2,344,398,85
94,35-44,female,82,23.0,76,17,0,107,15895.0,142,110,2,350,417,85
95,35-44,female,83,24.0,83,19,1,116,16507.0,145,112,2,356,434,86
96,35-44,female,84,24.0,90,22,1,126,17240.0,149,115,2,364,450,86
97,35-44,female,85,25.0,100,26,2,140,18147.0,153,118,2,374,467,87
98,35-44,female,86,26.0,114,30,5,160,19359.0,159,123,3,388,484,88
99,35-44,female,88,29.0,135,37,10,192,21079.0,168,129,3,409,504,89
100,35-44,female,92,36.0,175,51,26,265,24468.0,189,144,4,456,528,96
1,35-44,male,49,7.0,1,0,0,1,18.0,11,12,0,105,0,60
2,35-44,male,50,7.0,1,0,0,1,76.0,18,18,0,117,0,61
3,35-44,male,52,7.0,1,0,0,1,224.0,23,22,0,126,0,62
4,35-44,male,52,7.0,1,0,0,1,476.0,26,25,0,133,0,63
5,35-44,male,53,7.0,1,0,0,1,771.0,29,27,0,139,0,64
6,35-44,male,54,7.0,1,0,0,1,1061.0,32,30,0,144,0,64
7,35-44,male,54,7.0,1,0,0,1,1330.0,34,31,0,148,0,65
8,35-44,male,55,7.0,2,0,0,2,1579.0,36,33,0,152,0,65
9,35-44,male,55,7.0,2,0,0,2,1813.0,38,35,0,156,0,66
10,35-44,male,55,7.0,2,0,0,2,2033.0,40,36,0,159,0,66
11,35-44,male,56,7.0,2,0,0,2,2241.0,42,37,0,163,0,67
12,35-44,male,56,7.0,2,0,0,2,2439.0,44,39,0,166,0,67
13,35-44,male,56,7.0,2,0,0,3,2627.0,45,40,0,168,0,67
14,35-44,male,57,7.0,3,0,0,3,2808.0,47,41,0,171,0,68
15,35-44,male,57,7.0,3,0,0,3,2983.0,48,42,0,174,0,68
16,35-44,male,57,7.0,3,0,0,3,3151.0,49,43,0,176,0,68
17,35-44,male,58,7.0,3,0,0,3,3314.0,51,44,0,178,0,69
18,35-44,male,58,7.0,3,0,0,4,3472.0,52,45,0,181,0,69
19,35-44,male,58,7.0,4,0,0,4,3626.0,53,46,0,183,0,69
20,35-44,male,58,7.0,4,0,0,4,3776.0,54,47,0,185,0,69
21,35-44,male,59,7.0,4,0,0,4,3923.0,55,48,0,187,0,70
22,35-44,male,59,7.0,4,0,0,5,4069.0,56,48,0,189,0,70
23,35-44,male,59,7.0,4,0,0,5,4210.0,58,49,0,191,0,70
24,35-44,male,59,7.0,5,0,0,5,4350.0,59,50,0,193,0,70
25,35-44,male,60,7.0,5,0,0,5,4488.0,60,51,0,195,0,70
26,35-44,male,60,7.0,5,0,0,6,4623.0,61,52,0,196,0,71
27,35-44,male,60,7.0,5,0,0,6,4758.0,62,52,0,198,0,71
28,35-44,male,60,7.0,6,0,0,6,4890.0,63,53,0,200,0,71
29,35-44,male,61,7.0,6,0,0,7,5020.0,64,54,0,201,0,71
30,35-44,male,61,7.0,6,0,0,7,5149.0,65,55,0,203,0,72
31,35-44,male,61,7.0,7,0,0,7,5278.0,65,55,0,205,0,72
32,35-44,male,61,7.0,7,0,0,8,5407.0,66,56,0,206,0,72
33,35-44,male,62,7.0,7,0,0,8,5535.0,67,57,0,208,0,72
34,35-44,male,62,7.0,8,0,0,9,5662.0,68,57,0,210,0,72
35,35-44,male,62,7.0,8,0,0,9,5789.0,69,58,0,211,0,72
36,35-44,male,62,7.0,8,0,0,9,5916.0,70,59,0,213,0,73
37,35-44,male,62,7.0,9,0,0,10,6042.0,71,59,0,214,0,73
38,35-44,male,63,7.0,9,0,0,10,6167.0,72,60,0,216,0,73
39,35-44,male,63,7.0,9,0,0,11,6294.0,73,61,0,217,0,73
40,35-44,male,63,7.0,10,0,0,11,6420.0,73,61,0,219,0,73
41,35-44,male,63,7.0,10,0,0,12,6547.0,74,62,0,220,0,74
42,35-44,male,63,7.0,11,0,0,12,6674.0,75,63,0,222,0,74
43,35-44,male,64,7.0,11,0,0,13,6801.0,76,63,0,223,0,74
44,35-44,male,64,7.0,11,0,0,13,6929.0,77,64,0,225,0,74
45,35-44,male,64,7.0,12,0,0,14,7056.0,78,65,0,226,0,74
46,35-44,male,64,8.0,12,0,0,15,7184.0,78,65,0,228,0,74
47,35-44,male,65,8.0,13,0,0,15,7313.0,79,66,0,229,0,75
48,35-44,male,65,8.0,13,0,0,16,7443.0,80,67,0,231,0,75
49,35-44,male,65,8.0,14,0,0,17,7573.0,81,67,0,232,0,75
50,35-44,male,65,8.0,14,0,0,17,7704.0,82,68,0,233,0,75
51,35-44,male,65,8.0,15,0,0,18,7837.0,83,68,0,235,0,75
52,35-44,male,66,8.0,16,0,0,19,7972.0,83,69,0,236,0,75
53,35-44,male,66,8.0,16,0,0,20,8104.0,84,70,0,238,0,76
54,35-44,male,66,9.0,17,0,0,20,8240.0,85,70,0,239,0,76
55,35-44,male,66,9.0,17,0,0,21,8377.0,86,71,0,241,0,76
56,35-44,male,66,9.0,18,0,0,22,8516.0,87,72,0,242,0,76
57,35-44,male,67,9.0,19,0,0,23,8657.0,87,72,0,244,0,76
58,35-44,male,67,10.0,19,0,0,24,8801.0,88,73,0,245,0,76
59,35-44,male,67,10.0,20,0,0,25,8947.0,89,74,0,247,0,77
60,35-44,male,67,10.0,21,0,0,26,9094.0,90,74,0,248,0,77
61,35-44,male,68,10.0,21,0,0,27,9244.0,91,75,0,250,0,77
62,35-44,male,68,11.0,22,1,0,28,9396.0,92,76,0,251,0,77
63,35-44,male,68,11.0,23,1,0,29,9553.0,93,76,0,253,0,77
64,35-44,male,68,11.0,24,1,0,31,9712.0,93,77,0,255,0,78
65,35-44,male,69,11.0,25,1,0,32,9877.0,94,78,0,256,0,78
66,35-44,male,69,11.0,25,1,0,33,10021.0,95,78,0,258,0,78
67,35-44,male,69,12.0,26,1,0,35,10158.0,96,79,0,260,0,78
68,35-44,male,69,12.0,27,1,0,36,10310.0,97,80,0,261,0,78
69,35-44,male,70,13.0,28,1,0,37,10469.0,98,80,0,263,0,78
70,35-44,male,70,13.0,29,1,0,39,10634.0,99,81,0,265,0,79
71,35-44,male,70,14.0,30,2,0,41,10804.0,100,82,0,266,0,79
72,35-44,male,70,14.0,31,2,0,42,10978.0,101,83,0,268,0,79
73,35-44,male,71,15.0,32,2,0,44,11156.0,102,84,0,270,0,79
74,35-44,male,71,16.0,34,2,0,46,11339.0,103,84,0,272,0,79
75,35-44,male,71,16.0,35,2,0,48,11530.0,104,85,0,274,0,80
76,35-44,male,72,17.0,36,3,0,50,11727.0,105,86,0,276,0,80
77,35-44,male,72,18.0,37,3,0,52,11931.0,106,87,0,278,19,80
78,35-44,male,72,19.0,39,3,0,54,12137.0,107,88,0,280,57,80
79,35-44,male,72,20.0,40,4,0,57,12351.0,108,89,0,282,63,81
80,35-44,male,73,21.0,42,4,0,59,12575.0,109,89,0,284,69,81
81,35-44,male,73,21.0,44,5,0,62,12806.0,111,90,0,287,75,81
82,35-44,male,73,22.0,45,5,0,65,13051.0,112,91,0,289,83,81
83,35-44,male,74,22.0,47,6,0,68,13303.0,113,92,0,292,92,81
84,35-44,male,74,22.0,49,6,0,71,13571.0,114,93,0,294,102,82
85,35-44,male,75,22.0,51,7,0,74,13851.0,116,95,0,297,114,82
86,35-44,male,75,22.0,54,8,0,78,14148.0,117,96,1,300,128,82
87,35-44,male,76,22.0,56,9,0,82,14464.0,119,97,1,303,144,83
88,35-44,male,76,22.0,59,10,0,86,14801.0,120,98,1,306,163,83
89,35-44,male,77,22.0,62,11,0,90,15157.0,122,100,1,310,211,83
90,35-44,male,77,23.0,65,12,0,95,15535.0,124,101,1,314,266,83
91,35-44,male,78,23.0,69,14,0,101,15951.0,126,103,1,318,312,84
92,35-44,male,78,23.0,73,15,0,107,16406.0,128,104,1,322,345,84
93,35-44,male,79,23.0,78,17,0,114,16908.0,131,106,1,327,370,85
94,35-44,male,80,24.0,84,20,1,122,17469.0,134,108,2,333,391,85
95,35-44,male,81,24.0,90,22,2,131,18109.0,137,111,2,340,410,86
96,35-44,male,82,24.0,98,25,2,143,18859.0,140,114,2,348,428,86
97,35-44,male,83,25.0,109,29,4,158,19763.0,145,117,2,358,446,87
98,35-44,male,85,26.0,122,33,7,178,20845.0,151,122,3,372,467,88
99,35-44,male,87,29.0,142,40,13,208,22294.0,161,129,3,395,491,89
100,35-44,male,92,36.0,175,51,26,265,24468.0,189,144,4,456,528,96
1,45-54,female,51,7.0,1,0,0,1,18.0,13,10,0,113,0,60
2,45-54,female,53,7.0,1,0,0,1,90.0,21,15,0,127,0,61
3,45-54,female,54,7.0,1,0,0,1,276.0,26,19,0,137,0,62
4,45-54,female,55,7.0,1,0,0,1,566.0,30,22,0,145,0,63
5,45-54,female,56,7.0,1,0,0,1,877.0,33,25,0,152,0,64
6,45-54,female,56,7.0,2,0,0,2,1168.0,36,27,0,157,0,65
7,45-54,female,57,7.0,2,0,0,2,1434.0,38,29,0,162,0,65
8,45-54,female,57,7.0,2,0,0,2,1677.0,41,30,0,167,0,66
9,45-54,female,58,7.0,2,0,0,2,1902.0,43,32,0,171,0,66
10,45-54,female,58,7.0,2,0,0,3,2111.0,45,33,0,174,0,66
11,45-54,female,59,7.0,3,0,0,3,2306.0,47,35,0,178,0,67
12,45-54,female,59,7.0,3,0,0,3,2490.0,48,36,0,181,0,67
13,45-54,female,59,7.0,3,0,0,3,2664.0,50,37,0,184,0,68
14,45-54,female,60,7.0,3,0,0,4,2830.0,51,38,0,187,0,68
15,45-54,female,60,7.0,4,0,0,4,2990.0,53,39,0,189,0,68
16,45-54,female,60,7.0,4,0,0,4,3142.0,54,40,0,192,0,68
17,45-54,female,61,7.0,4,0,0,4,3289.0,56,41,0,194,0,69
18,45-54,female,61,7.0,4,0,0,5,3432.0,57,42,0,197,0,69
19,45-54,female,61,7.0,5,0,0,5,3571.0,58,43,0,199,0,69
20,45-54,female,61,7.0,5,0,0,5,3706.0,60,44,0,201,0,70
21,45-54,female,62,7.0,5,0,0,6,3839.0,61,45,0,203,0,70
22,45-54,female,62,7.0,6,0,0,6,3968.0,62,46,0,205,0,70
23,45-54,female,62,7.0,6,0,0,6,4094.0,63,47,0,207,0,70
24,45-54,female,63,7.0,6,0,0,7,4219.0,64,48,0,209,0,71
25,45-54,female,63,7.0,7,0,0,7,4342.0,65,48,0,211,0,71
26,45-54,female,63,7.0,7,0,0,8,4464.0,66,49,0,213,0,71
27,45-54,female,63,7.0,7,0,0,8,4584.0,68,50,0,215,0,71
28,45-54,female,63,7.0,8,0,0,8,4704.0,69,51,0,216,0,71
29,45-54,female,64,7.0,8,0,0,9,4822.0,70,51,0,218,0,72
30,45-54,female,64,7.0,8,0,0,9,4940.0,71,52,0,220,0,72
31,45-54,female,64,7.0,9,0,0,10,5054.0,72,53,0,222,0,72
32,45-54,female,64,7.0,9,0,0,10,5168.0,73,53,0,223,0,72
33,45-54,female,65,7.0,10,0,0,11,5283.0,73,54,0,225,0,72
34,45-54,female,65,7.0,10,0,0,11,5397.0,74,55,0,226,0,73
35,45-54,female,65,7.0,10,0,0,12,5511.0,75,56,0,228,0,73
36,45-54,female,65,7.0,11,0,0,12,5625.0,76,56,0,230,0,73
37,45-54,female,65,7.0,11,0,0,13,5739.0,77,57,0,231,0,73
38,45-54,female,66,7.0,12,0,0,13,5854.0,78,58,0,233,0,73
39,45-54,female,66,7.0,12,0,0,14,5969.0,79,58,0,234,0,74
40,45-54,female,66,7.0,13,0,0,15,6082.0,80,59,0,236,0,74
41,45-54,female,66,7.0,13,0,0,15,6197.0,81,59,0,237,0,74
42,45-54,female,67,7.0,14,0,0,16,6312.0,82,60,0,239,0,74
43,45-54,female,67,7.0,14,0,0,16,6428.0,82,61,0,240,0,74
44,45-54,female,67,7.0,15,0,0,17,6543.0,83,61,0,242,0,74
45,45-54,female,67,7.0,15,0,0,18,6661.0,84,62,0,243,0,75
46,45-54,female,67,7.0,16,0,0,18,6779.0,85,63,0,245,0,75
47,45-54,female,68,7.0,17,0,0,19,6898.0,86,63,0,246,0,75
48,45-54,female,68,7.0,17,0,0,20,7017.0,87,64,0,248,0,75
49,45-54,female,68,7.0,18,0,0,21,7136.0,87,65,0,249,0,75
50,45-54,female,68,8.0,18,0,0,21,7257.0,88,65,0,251,0,76
51,45-54,female,68,8.0,19,0,0,22,7379.0,89,66,0,252,0,76
52,45-54,female,69,8.0,20,0,0,23,7503.0,90,67,0,254,0,76
53,45-54,female,69,8.0,20,0,0,24,7626.0,91,67,0,255,0,76
54,45-54,female,69,8.0,21,0,0,25,7753.0,92,68,0,257,0,76
55,45-54,female,69,8.0,22,0,0,26,7881.0,93,68,0,258,0,76
56,45-54,female,69,8.0,22,0,0,27,8009.0,93,69,0,260,0,77
57,45-54,female,70,8.0,23,0,0,28,8137.0,94,70,0,261,0,77
58,45-54,female,70,9.0,24,0,0,29,8268.0,95,70,0,263,0,77
59,45-54,female,70,9.0,25,0,0,30,8401.0,96,71,0,265,0,77
60,45-54,female,70,9.0,25,0,0,31,8537.0,97,72,0,266,0,77
61,45-54,female,71,9.0,26,1,0,32,8675.0,98,72,0,268,0,77
62,45-54,female,71,10.0,27,1,0,33,8816.0,98,73,0,269,0,78
63,45-54,female,71,10.0,28,1,0,34,8961.0,99,74,0,271,0,78
64,45-54,female,71,10.0,29,1,0,36,9107.0,100,74,0,273,0,78
65,45-54,female,71,11.0,30,1,0,37,9257.0,101,75,0,274,0,78
66,45-54,female,72,11.0,31,1,0,38,9412.0,102,76,0,276,0,78
67,45-54,female,72,11.0,32,1,0,40,9572.0,103,76,0,278,0,79
68,45-54,female,72,11.0,33,1,0,41,9735.0,104,77,0,279,0,79
69,45-54,female,72,11.0,34,1,0,43,9907.0,105,78,0,281,0,79
70,45-54,female,73,12.0,35,2,0,44,10040.0,106,79,0,283,0,79
71,45-54,female,73,12.0,36,2,0,46,10168.0,107,79,0,285,0,79
72,45-54,female,73,13.0,37,2,0,48,10313.0,108,80,0,287,0,79
73,45-54,female,73,13.0,38,2,0,49,10470.0,109,81,0,289,0,80
74,45-54,female,74,14.0,40,2,0,51,10632.0,110,82,0,290,0,80
75,45-54,female,74,15.0,41,3,0,53,10803.0,111,83,0,292,51,80
76,45-54,female,74,16.0,42,3,0,55,10981.0,112,83,0,294,60,80
77,45-54,female,74,17.0,44,3,0,57,11161.0,113,84,0,297,64,80
78,45-54,female,75,18.0,45,3,0,59,11351.0,114,85,0,299,70,81
79,45-54,female,75,19.0,47,4,0,62,11549.0,115,86,0,301,76,81
80,45-54,female,75,20.0,48,4,0,64,11756.0,116,87,0,303,82,81
81,45-54,female,76,20.0,50,5,0,67,11973.0,117,88,0,306,90,81
82,45-54,female,76,21.0,52,5,0,70,12190.0,119,89,0,308,99,82
83,45-54,female,76,22.0,54,5,0,72,12420.0,120,90,0,311,109,82
84,45-54,female,77,22.0,56,6,0,75,12661.0,121,91,1,313,122,82
85,45-54,female,77,22.0,58,7,0,79,12919.0,123,92,1,316,137,82
86,45-54,female,77,22.0,60,7,0,82,13191.0,124,93,1,319,155,83
87,45-54,female,78,22.0,63,8,0,86,13480.0,126,94,1,322,188,83
88,45-54,female,78,22.0,66,9,0,90,13789.0,127,96,1,326,245,83
89,45-54,female,79,22.0,69,10,0,94,14123.0,129,97,1,329,296,84
90,45-54,female,79,22.0,72,12,0,99,14480.0,131,99,1,333,336,84
91,45-54,female,80,22.0,75,13,0,104,14877.0,133,100,1,338,364,84
92,45-54,female,80,23.0,80,15,0,110,15293.0,135,102,1,342,386,85
93,45-54,female,81,23.0,84,16,1,117,15761.0,138,104,2,347,405,85
94,45-54,female,82,23.0,90,19,1,125,16297.0,141,106,2,353,421,85
95,45-54,female,83,23.0,96,21,2,134,16917.0,144,109,2,360,436,86
96,45-54,female,83,24.0,104,24,2,145,17648.0,147,111,2,368,451,87
97,45-54,female,85,24.0,114,28,4,160,18555.0,152,115,3,378,467,87
98,45-54,female,86,25.0,127,32,7,179,19760.0,158,120,3,391,483,88
99,45-54,female,88,28.0,145,39,12,209,21394.0,168,127,4,412,503,90
100,45-54,female,92,36.0,175,51,26,265,24468.0,189,144,4,456,528,96
1,45-54,male,49,7.0,1,0,0,1,25.0,10,8,0,105,0,60
2,45-54,male,50,7.0,1,0,0,1,120.0,16,13,0,117,0,62
3,45-54,male,52,7.0,1,0,0,1,338.0,20,17,0,126,0,63
4,45-54,male,52,7.0,1,0,0,1,655.0,24,20,0,132,0,64
